training_key,year_num,sales_representative_bk,sales_staff_key,course_key,courses_followed,course_cost
80,2004,28,21.0,4,1,600.0
81,2005,28,21.0,5,1,750.0
82,2005,28,21.0,6,1,750.0
83,2006,28,21.0,7,1,750.0
84,2004,29,22.0,2,1,400.0
85,2005,29,22.0,3,1,600.0
86,2006,29,22.0,5,1,750.0
87,2004,30,23.0,2,1,400.0
88,2005,30,23.0,7,1,750.0
89,2006,30,23.0,8,1,1000.0
90,2006,30,23.0,9,1,1000.0
91,2004,43,24.0,2,1,400.0
92,2005,43,24.0,3,1,600.0
93,2005,43,24.0,4,1,600.0
94,2004,43,24.0,5,1,750.0
95,2006,43,24.0,6,1,750.0
96,2006,43,24.0,7,1,750.0
97,2004,44,25.0,5,1,750.0
98,2005,44,25.0,6,1,750.0
99,2006,44,25.0,7,1,750.0
100,2006,44,25.0,8,1,1000.0
101,2005,45,26.0,8,1,1000.0
102,2005,46,27.0,2,1,400.0
103,2005,46,27.0,5,1,750.0
104,2005,46,27.0,6,1,750.0
105,2005,46,27.0,7,1,750.0
106,2004,47,28.0,7,1,750.0
107,2005,47,28.0,8,1,1000.0
108,2005,47,28.0,9,1,1000.0
109,2004,48,29.0,7,1,750.0
110,2004,48,29.0,8,1,1000.0
111,2004,48,29.0,9,1,1000.0
112,2006,49,30.0,1,1,250.0
113,2004,49,30.0,3,1,600.0
114,2004,49,30.0,4,1,600.0
115,2005,49,30.0,5,1,750.0
116,2005,50,31.0,2,1,400.0
117,2006,50,31.0,3,1,600.0
118,2004,51,32.0,2,1,400.0
119,2006,51,32.0,3,1,600.0
120,2004,51,32.0,5,1,750.0
121,2005,51,32.0,6,1,750.0
122,2006,51,32.0,7,1,750.0
123,2005,52,33.0,1,1,250.0
124,2005,52,33.0,2,1,400.0
125,2005,52,33.0,3,1,600.0
126,2005,52,33.0,5,1,750.0
127,2006,52,33.0,6,1,750.0
128,2006,52,33.0,7,1,750.0
129,2004,53,34.0,8,1,1000.0
130,2005,53,34.0,9,1,1000.0
131,2004,54,35.0,2,1,400.0
132,2004,54,35.0,3,1,600.0
133,2004,54,35.0,4,1,600.0
134,2004,57,38.0,7,1,750.0
135,2005,57,38.0,8,1,1000.0
136,2005,57,38.0,9,1,1000.0
137,2005,58,39.0,2,1,400.0
138,2006,58,39.0,3,1,600.0
139,2006,58,39.0,4,1,600.0
140,2004,58,39.0,5,1,750.0
141,2004,58,39.0,6,1,750.0
142,2004,59,40.0,2,1,400.0
143,2005,59,40.0,3,1,600.0
144,2006,59,40.0,4,1,600.0
145,2004,59,40.0,5,1,750.0
146,2004,59,40.0,6,1,750.0
147,2004,59,40.0,7,1,750.0
148,2004,60,41.0,2,1,400.0
149,2004,61,42.0,2,1,400.0
150,2004,61,42.0,7,1,750.0
151,2004,62,43.0,2,1,400.0
152,2005,62,43.0,3,1,600.0
153,2004,62,43.0,5,1,750.0
154,2004,62,43.0,6,1,750.0
155,2005,62,43.0,7,1,750.0
156,2005,63,44.0,2,1,400.0
157,2006,63,44.0,3,1,600.0
158,2004,63,44.0,5,1,750.0
159,2004,63,44.0,6,1,750.0
160,2004,64,45.0,1,1,250.0
161,2004,64,45.0,2,1,400.0
162,2004,64,45.0,3,1,600.0
163,2004,64,45.0,4,1,600.0
164,2005,64,45.0,5,1,750.0
165,2006,64,45.0,6,1,750.0
166,2006,64,45.0,7,1,750.0
167,2004,65,46.0,2,1,400.0
168,2006,65,46.0,7,1,750.0
169,2004,65,46.0,8,1,1000.0
170,2005,65,46.0,9,1,1000.0
171,2004,67,48.0,2,1,400.0
172,2004,67,48.0,3,1,600.0
173,2005,67,48.0,5,1,750.0
174,2006,68,49.0,3,1,600.0
175,2006,68,49.0,4,1,600.0
176,2004,68,49.0,5,1,750.0
177,2004,69,50.0,2,1,400.0
178,2005,69,50.0,3,1,600.0
179,2005,69,50.0,4,1,600.0
180,2004,69,50.0,5,1,750.0
181,2006,69,50.0,6,1,750.0
182,2004,70,51.0,3,1,600.0
183,2004,70,51.0,4,1,600.0
184,2006,70,51.0,5,1,750.0
185,2004,71,52.0,1,1,250.0
186,2004,71,52.0,2,1,400.0
187,2004,71,52.0,8,1,1000.0
188,2006,71,52.0,9,1,1000.0
189,2004,72,53.0,1,1,250.0
190,2004,72,53.0,2,1,400.0
191,2005,72,53.0,7,1,750.0
192,2004,72,53.0,8,1,1000.0
193,2005,72,53.0,9,1,1000.0
194,2004,73,54.0,1,1,250.0
195,2004,73,54.0,2,1,400.0
196,2005,73,54.0,3,1,600.0
197,2005,73,54.0,4,1,600.0
198,2004,73,54.0,5,1,750.0
199,2006,73,54.0,6,1,750.0
200,2006,73,54.0,7,1,750.0
201,2004,74,55.0,2,1,400.0
202,2004,74,55.0,3,1,600.0
203,2004,74,55.0,5,1,750.0
204,2004,74,55.0,6,1,750.0
205,2005,74,55.0,7,1,750.0
206,2004,75,56.0,2,1,400.0
207,2004,75,56.0,7,1,750.0
208,2005,75,56.0,8,1,1000.0
209,2006,75,56.0,9,1,1000.0
210,2004,76,57.0,2,1,400.0
211,2004,76,57.0,3,1,600.0
212,2004,76,57.0,5,1,750.0
213,2005,76,57.0,6,1,750.0
214,2004,77,58.0,1,1,250.0
215,2004,77,58.0,2,1,400.0
216,2005,77,58.0,3,1,600.0
217,2005,77,58.0,4,1,600.0
218,2004,77,58.0,5,1,750.0
219,2006,77,58.0,6,1,750.0
220,2006,77,58.0,7,1,750.0
221,2004,78,59.0,2,1,400.0
222,2006,78,59.0,3,1,600.0
223,2005,78,59.0,5,1,750.0
224,2005,78,59.0,6,1,750.0
225,2004,79,60.0,8,1,1000.0
226,2006,79,60.0,9,1,1000.0
227,2004,80,61.0,2,1,400.0
228,2006,80,61.0,3,1,600.0
229,2004,80,61.0,5,1,750.0
230,2005,80,61.0,6,1,750.0
231,2004,81,62.0,2,1,400.0
232,2004,81,62.0,3,1,600.0
233,2005,81,62.0,5,1,750.0
234,2006,81,62.0,6,1,750.0
235,2004,83,63.0,1,1,250.0
236,2004,83,63.0,2,1,400.0
237,2004,83,63.0,3,1,600.0
238,2004,83,63.0,4,1,600.0
239,2005,83,63.0,5,1,750.0
240,2006,83,63.0,6,1,750.0
241,2004,85,64.0,2,1,400.0
242,2005,85,64.0,3,1,600.0
243,2005,85,64.0,6,1,750.0
244,2006,85,64.0,7,1,750.0
245,2004,87,65.0,1,1,250.0
246,2004,87,65.0,2,1,400.0
247,2004,87,65.0,7,1,750.0
248,2005,87,65.0,8,1,1000.0
249,2006,87,65.0,9,1,1000.0
250,2004,88,66.0,2,1,400.0
251,2004,88,66.0,5,1,750.0
252,2005,88,66.0,6,1,750.0
253,2005,88,66.0,7,1,750.0
254,2006,88,66.0,8,1,1000.0
255,2004,89,67.0,1,1,250.0
256,2004,89,67.0,2,1,400.0
257,2004,89,67.0,8,1,1000.0
258,2004,89,67.0,9,1,1000.0
259,2004,90,68.0,1,1,250.0
260,2004,90,68.0,2,1,400.0
261,2004,90,68.0,5,1,750.0
262,2004,90,68.0,6,1,750.0
263,2004,91,69.0,1,1,250.0
264,2004,91,69.0,2,1,400.0
265,2004,91,69.0,5,1,750.0
266,2006,91,69.0,6,1,750.0
267,2004,92,70.0,1,1,250.0
268,2004,92,70.0,2,1,400.0
269,2005,92,70.0,3,1,600.0
270,2006,92,70.0,5,1,750.0
271,2004,93,71.0,2,1,400.0
272,2004,93,71.0,5,1,750.0
273,2005,93,71.0,6,1,750.0
274,2005,93,71.0,7,1,750.0
275,2005,95,73.0,2,1,400.0
276,2004,95,73.0,3,1,600.0
277,2004,95,73.0,5,1,750.0
278,2004,95,73.0,6,1,750.0
279,2005,95,73.0,7,1,750.0
280,2004,96,74.0,2,1,400.0
281,2006,96,74.0,8,1,1000.0
282,2004,97,75.0,1,1,250.0
283,2004,97,75.0,3,1,600.0
284,2005,97,75.0,4,1,600.0
285,2004,98,76.0,1,1,250.0
286,2004,98,76.0,2,1,400.0
287,2006,98,76.0,5,1,750.0
288,2005,99,77.0,2,1,400.0
289,2004,99,77.0,5,1,750.0
290,2005,99,77.0,6,1,750.0
291,2005,99,77.0,7,1,750.0
292,2004,100,78.0,2,1,400.0
293,2004,100,78.0,3,1,600.0
294,2004,100,78.0,4,1,600.0
295,2005,100,78.0,5,1,750.0
296,2006,100,78.0,6,1,750.0
297,2006,100,78.0,7,1,750.0
298,2004,101,,1,1,250.0
299,2004,101,,2,1,400.0
300,2005,101,,3,1,600.0
301,2004,101,,5,1,750.0
302,2005,101,,6,1,750.0
303,2004,102,,1,1,250.0
304,2004,102,,2,1,400.0
305,2006,102,,3,1,600.0
306,2006,102,,4,1,600.0
307,2006,102,,5,1,750.0
308,2004,103,,1,1,250.0
309,2004,103,,2,1,400.0
310,2004,103,,3,1,600.0
311,2006,103,,4,1,600.0
312,2004,103,,5,1,750.0
313,2005,103,,6,1,750.0
314,2005,103,,7,1,750.0
315,2004,104,,2,1,400.0
316,2005,104,,3,1,600.0
317,2005,104,,4,1,600.0
318,2004,104,,5,1,750.0
319,2004,104,,6,1,750.0
320,2004,105,,2,1,400.0
321,2004,105,,5,1,750.0
322,2004,105,,6,1,750.0
323,2005,105,,7,1,750.0
324,2004,106,,2,1,400.0
325,2004,106,,5,1,750.0
326,2005,106,,6,1,750.0
327,2004,107,79.0,7,1,750.0
328,2004,107,79.0,8,1,1000.0
329,2005,107,79.0,9,1,1000.0
330,2004,109,81.0,2,1,400.0
331,2006,109,81.0,3,1,600.0
332,2006,109,81.0,4,1,600.0
333,2004,110,82.0,2,1,400.0
334,2004,110,82.0,5,1,750.0
335,2004,110,82.0,6,1,750.0
336,2005,110,82.0,7,1,750.0
337,2006,110,82.0,8,1,1000.0
338,2005,111,83.0,8,1,1000.0
339,2006,111,83.0,9,1,1000.0
340,2004,112,84.0,1,1,250.0
341,2004,112,84.0,2,1,400.0
342,2005,112,84.0,3,1,600.0
343,2005,112,84.0,4,1,600.0
344,2004,112,84.0,5,1,750.0
345,2006,112,84.0,6,1,750.0
346,2004,113,85.0,1,1,250.0
347,2004,113,85.0,2,1,400.0
348,2004,113,85.0,3,1,600.0
349,2006,113,85.0,5,1,750.0
350,2005,114,86.0,2,1,400.0
351,2004,114,86.0,5,1,750.0
352,2004,114,86.0,6,1,750.0
353,2006,114,86.0,7,1,750.0
354,2004,115,87.0,1,1,250.0
355,2004,115,87.0,2,1,400.0
356,2005,115,87.0,3,1,600.0
357,2005,115,87.0,4,1,600.0
358,2004,115,87.0,5,1,750.0
359,2004,116,88.0,1,1,250.0
360,2004,116,88.0,2,1,400.0
361,2005,116,88.0,5,1,750.0
362,2006,116,88.0,6,1,750.0
363,2006,116,88.0,7,1,750.0
364,2004,117,89.0,1,1,250.0
365,2004,117,89.0,2,1,400.0
366,2004,117,89.0,3,1,600.0
367,2004,117,89.0,5,1,750.0
368,2005,117,89.0,6,1,750.0
369,2005,117,89.0,7,1,750.0
370,2006,117,89.0,8,1,1000.0
371,2004,118,90.0,1,1,250.0
372,2004,118,90.0,2,1,400.0
373,2004,118,90.0,5,1,750.0
374,2005,118,90.0,6,1,750.0
375,2005,118,90.0,7,1,750.0
376,2004,119,91.0,1,1,250.0
377,2004,119,91.0,2,1,400.0
378,2005,119,91.0,7,1,750.0
379,2004,119,91.0,8,1,1000.0
380,2006,119,91.0,9,1,1000.0
381,2004,120,92.0,1,1,250.0
382,2004,120,92.0,2,1,400.0
383,2004,120,92.0,3,1,600.0
384,2004,120,92.0,5,1,750.0
385,2004,121,93.0,1,1,250.0
386,2004,121,93.0,2,1,400.0
387,2005,121,93.0,5,1,750.0
388,2006,121,93.0,6,1,750.0
389,2004,122,94.0,1,1,250.0
390,2004,122,94.0,2,1,400.0
391,2004,122,94.0,5,1,750.0
392,2005,122,94.0,6,1,750.0
393,2006,122,94.0,7,1,750.0
394,2004,123,95.0,1,1,250.0
395,2004,123,95.0,2,1,400.0
396,2004,123,95.0,5,1,750.0
397,2004,123,95.0,6,1,750.0
398,2005,123,95.0,7,1,750.0
399,2004,124,96.0,2,1,400.0
400,2004,124,96.0,5,1,750.0
401,2005,124,96.0,6,1,750.0
402,2005,124,96.0,7,1,750.0
