return_key,return_bk,date_key,product_key,customer_key,region_key,sales_staff_key,return_reason_key,return_quantity,original_quantity,unit_sale_price,return_value,gross_loss
70,1587,20240310,86,19,12,,1,2,34,58.56,117.12,29.58
71,1588,20250418,2,7,6,,5,66,66,39.99,2639.34,755.0400000000001
72,1589,20250607,3,2,2,,2,4,48,52.99,211.96,70.64000000000001
73,1590,20250114,5,17,2,,2,2,62,17.09,34.18,17.12
74,1591,20260204,5,2,2,,2,4,54,18.0,72.0,36.0
75,1592,20250808,6,3,3,,1,4,68,80.0,320.0,160.0
76,1593,20260111,9,1,1,,1,6,174,20.0,120.0,60.0
77,1594,20230414,12,28,1,,2,6,68,48.88,293.28000000000003,97.74
78,1595,20240427,14,11,9,,1,2,40,78.0,156.0,78.0
79,1597,20231020,19,9,8,,2,2,24,122.7,245.4,81.80000000000001
80,1599,20240426,20,15,10,,1,2,32,90.76,181.52,60.52000000000001
81,1600,20251024,22,13,2,,5,32,32,11.14,356.48,82.56
82,1601,20250819,23,13,2,,1,2,74,16.0,32.0,9.14
83,1602,20250925,25,11,9,,1,2,120,40.0,80.0,32.94
84,1603,20231228,27,26,15,,1,2,68,105.29,210.58,42.120000000000005
85,1604,20240502,30,29,8,,2,2,32,73.48,146.96,62.980000000000004
86,1605,20231218,32,5,4,,1,2,44,87.4,174.8,54.260000000000005
87,1606,20241203,32,18,8,,3,72,72,92.56,6664.32,2498.4
88,1607,20230823,33,18,8,,2,2,52,108.38,216.76,50.01999999999998
89,1617,20250412,50,295,172,,3,24,24,325.0,7800.0,1800.0
90,1618,20251014,51,295,172,,2,2,42,579.52,1159.04,212.89999999999998
91,1619,20240929,52,296,173,,2,4,38,509.14,2036.56,442.91999999999985
92,1621,20241204,53,298,175,,4,44,44,611.78,26918.32,5383.839999999998
93,1622,20250824,54,297,174,,5,24,24,673.75,16170.0,4410.0
94,1623,20260105,55,295,172,,2,6,94,1.75,10.5,4.5
95,1624,20260202,63,293,171,,1,4,46,75.0,300.0,50.0
96,1625,20250506,67,297,174,,2,2,52,30.0,60.0,12.0
97,1627,20231122,71,296,173,,1,2,40,27.37,54.74,18.240000000000002
98,1628,20250216,73,293,171,,2,4,106,40.77,163.08,50.60000000000001
99,1629,20240503,74,293,171,,1,2,60,23.89,47.78,10.939999999999998
100,1630,20251220,75,296,173,,5,90,90,27.01,2430.9,806.4000000000001
101,1632,20240123,79,295,172,,3,80,80,25.29,2023.1999999999998,567.9999999999998
102,1633,20241219,79,296,173,,1,6,98,25.29,151.74,42.59999999999999
103,1634,20240412,79,295,172,,4,78,78,25.29,1972.62,553.7999999999998
104,1636,20250420,80,293,171,,2,2,26,32.0,64.0,14.759999999999998
105,1637,20240917,3,296,173,,4,12,12,51.54,618.48,206.16
106,1638,20231015,40,339,203,,1,2,40,6.59,13.18,4.42
107,1639,20230819,42,340,207,,1,6,54,23.8,142.8,39.300000000000004
108,1640,20241015,42,334,203,,2,2,22,20.63,41.26,8.18
109,1642,20250711,43,340,207,,5,62,62,7.0,434.0,124.0
110,1643,20240902,44,356,211,,2,2,20,54.09,108.18,32.56
111,1644,20251030,46,348,207,,3,28,28,64.0,1792.0,493.3599999999999
112,1647,20231201,49,347,208,,2,2,26,19.29,38.58,15.879999999999999
113,1648,20230802,49,334,203,,5,22,22,19.29,424.38,174.67999999999998
114,1649,20241219,49,346,205,,1,2,20,17.4,34.8,14.339999999999996
115,1650,20250319,49,347,208,,1,2,36,17.0,34.0,14.0
116,1651,20240107,53,339,203,,2,2,36,618.19,1236.38,153.12000000000012
117,1652,20250615,55,345,203,,5,108,108,1.7,183.6,75.6
118,1654,20231225,56,347,208,,4,34,34,90.09,3063.06,874.8200000000002
119,1656,20241226,56,338,206,,2,2,32,84.41,168.82,48.239999999999995
120,1657,20250909,56,352,210,,1,2,26,84.0,168.0,48.0
121,1658,20251105,57,348,207,,5,64,64,129.0,8256.0,2752.0
122,1659,20241108,59,345,203,,2,2,22,112.9,225.8,64.54000000000002
123,1660,20241219,61,340,207,,3,8,8,15.28,122.24,40.8
124,1661,20240821,62,334,203,,5,8,8,86.45,691.6,169.60000000000002
125,1663,20230503,63,355,210,,5,42,42,76.86,3228.12,538.0200000000001
126,1664,20250915,64,354,203,,2,2,40,203.96,407.92,74.60000000000002
127,1666,20240325,69,353,203,,4,28,28,13.57,379.96000000000004,190.12
128,1668,20241129,71,348,207,,2,4,62,25.31,101.24,33.75999999999999
129,1669,20250624,71,352,210,,1,4,68,22.5,90.0,23.319999999999993
130,1670,20251207,71,346,205,,1,8,84,25.0,200.0,66.63999999999999
131,1671,20230530,72,351,210,,1,6,64,29.44,176.64000000000001,58.92
132,1672,20231214,72,346,205,,3,60,60,29.44,1766.4,589.2
133,1673,20240907,72,345,203,,2,4,64,24.12,96.48,23.680000000000007
134,1674,20241018,72,348,207,,2,6,68,27.3,163.8,54.60000000000001
135,1675,20241005,73,351,210,,1,4,48,40.22,160.88,45.11999999999999
136,1676,20250622,73,351,210,,1,2,116,44.99,89.98,33.74
137,1677,20251031,73,338,206,,2,8,72,44.99,359.92,134.96
138,1678,20240608,74,344,210,,2,4,66,22.61,90.44,16.75999999999999
139,1679,20251126,74,350,203,,2,4,76,22.12,88.48,17.36
140,1681,20251117,76,334,203,,1,2,58,40.81,81.62,24.120000000000005
141,1682,20251018,77,348,207,,5,38,38,30.0,1140.0,380.0
142,1683,20250619,78,339,203,,1,2,50,57.68,115.36,34.099999999999994
143,1684,20230802,80,346,205,,1,2,20,35.09,70.18,16.180000000000007
144,1685,20240601,80,334,203,,2,2,22,32.7,65.4,15.100000000000009
145,1686,20240810,86,350,203,,1,2,26,56.59,113.18,25.64
146,1687,20250102,2,354,203,,1,2,22,35.54,71.08,14.68
147,1688,20240422,3,345,203,,3,44,44,45.52,2002.88,491.0400000000002
148,1689,20240803,3,348,207,,2,2,44,51.54,103.08,34.36
149,1690,20241029,4,348,207,,1,6,64,7.8,46.8,23.4
150,1691,20250108,9,354,203,,1,4,66,16.31,65.24,25.679999999999993
151,1692,20251104,9,350,203,,2,4,54,17.0,68.0,28.0
152,1693,20250728,13,348,207,,1,4,54,40.0,160.0,80.0
153,1694,20251003,13,355,210,,1,14,166,40.0,560.0,280.0
154,1695,20250422,13,349,208,,1,6,174,40.0,240.0,120.0
155,1696,20230912,14,349,208,,1,4,62,81.55,326.2,163.11999999999998
156,1697,20240517,14,356,211,,5,98,98,78.0,7644.0,3822.0
157,1700,20251023,22,355,210,,4,26,26,11.98,311.48,88.92
158,1701,20241212,23,340,207,,1,2,52,16.02,32.04,9.18
159,1702,20240718,23,348,207,,1,2,34,16.02,32.04,9.18
160,1703,20230729,25,340,207,,1,4,44,40.52,162.08,66.72000000000001
161,1704,20230306,26,339,203,,1,2,58,92.29,184.58,92.32000000000001
162,1706,20250330,30,354,203,,5,28,28,80.0,2240.0,1120.0
163,1709,20251110,32,351,210,,2,4,42,79.87,319.48,94.48000000000002
164,1710,20231020,33,339,203,,1,2,28,116.73,233.46,66.72
165,1712,20250707,40,301,178,,1,8,96,5.69,45.52,13.520000000000003
166,1713,20251211,42,301,178,,1,2,38,21.07,42.14,10.280000000000001
167,1714,20241009,47,302,179,,2,2,22,126.16,252.32,95.79999999999998
168,1715,20240619,48,301,178,,3,12,12,11.71,140.52,30.840000000000003
169,1716,20241116,50,300,177,,1,2,16,339.1,678.2,172.06000000000006
170,1717,20250831,56,303,180,,4,24,24,80.4,1929.6000000000001,489.60000000000014
171,1721,20251202,71,300,177,,2,4,62,23.75,95.0,28.319999999999993
172,1722,20240726,72,301,178,,3,60,60,25.94,1556.4,464.4000000000001
173,1723,20231012,73,303,180,,2,2,40,51.24,102.48,38.44
174,1724,20240814,73,299,176,,4,62,62,46.31,2871.2200000000003,1076.94
175,1725,20240403,74,303,180,,5,48,48,23.89,1146.72,262.55999999999995
176,1727,20250826,13,303,180,,3,58,58,37.0,2146.0,986.0
177,1730,20230730,43,182,101,,4,68,68,7.32,497.76,142.12
178,1733,20240910,53,182,101,,2,2,60,598.53,1197.06,218.2199999999999
179,1734,20240804,54,173,99,,4,18,18,756.82,13622.76,4541.040000000001
180,1735,20240821,56,184,107,,5,46,46,75.97,3494.62,721.28
181,1736,20241014,57,173,99,,5,56,56,118.15,6616.400000000001,1623.4400000000005
182,1738,20250107,60,183,99,,1,2,28,34.22,68.44,7.8799999999999955
183,1739,20240506,63,180,109,,1,6,118,76.73,460.38,76.68
184,1740,20241029,63,176,105,,1,4,76,76.73,306.92,51.120000000000005
185,1741,20250909,64,174,99,,1,2,60,229.16,458.32,125.0
186,1742,20231022,70,183,99,,1,6,84,16.29,97.74,48.89999999999999
187,1743,20230406,72,174,99,,1,14,186,29.44,412.16,137.48000000000002
188,1744,20240725,73,172,102,,2,4,184,40.22,160.88,45.11999999999999
189,1745,20240406,75,165,99,,2,14,142,30.64,428.96000000000004,170.66000000000003
190,1747,20250520,78,182,101,,2,10,122,65.0,650.0,243.7
191,1748,20230407,79,181,104,,5,194,194,27.81,5395.139999999999,1513.1999999999994
192,1749,20250507,85,190,102,,5,32,32,74.0,2368.0,676.48
193,1750,20250325,86,178,107,,5,60,60,59.95,3597.0,907.2000000000003
194,1752,20250512,4,189,112,,2,8,126,7.0,56.0,24.0
195,1753,20250410,9,170,103,,5,68,68,16.5,1122.0,442.0
196,1754,20260107,9,189,112,,2,4,136,20.0,80.0,40.0
197,1755,20250516,10,175,104,,1,6,116,40.0,240.0,120.0
198,1756,20240728,14,187,100,,1,2,82,64.34,128.68,50.68000000000001
199,1757,20241117,17,192,99,,2,8,74,60.06,480.48,110.88
200,1758,20240716,17,170,103,,1,6,84,55.2,331.20000000000005,54.0
201,1760,20231020,19,170,103,,1,2,28,122.7,245.4,81.80000000000001
202,1761,20241125,22,183,99,,1,2,48,10.94,21.88,4.52
203,1762,20240918,22,184,107,,1,2,38,10.94,21.88,4.52
204,1763,20240820,23,185,110,,2,8,80,14.4,115.2,23.760000000000005
205,1764,20240520,26,181,104,,4,70,70,74.77,5233.9,2062.1999999999994
206,1765,20231105,31,181,104,,1,4,64,32.72,130.88,43.64
207,1766,20250915,31,180,109,,3,92,92,27.5,2530.0,690.0
208,1767,20230219,33,181,104,,5,24,24,116.73,2801.52,800.64
209,1768,20240421,40,53,29,,2,12,298,4.84,58.08,9.96
210,1769,20240714,41,52,19,,1,22,212,10.9,239.8,34.760000000000005
211,1770,20250119,42,51,28,,2,2,34,22.84,45.68,12.600000000000001
212,1771,20241017,43,54,17,,5,80,80,6.44,515.2,106.4
213,1772,20250218,44,51,28,,1,2,50,50.0,100.0,30.060000000000002
214,1774,20250314,46,47,18,,1,6,104,64.0,384.0,105.71999999999998
215,1775,20251027,49,51,28,,1,6,110,17.0,102.0,42.0
216,1776,20250216,50,55,20,,1,8,122,329.82,2638.56,638.56
217,1777,20230616,53,38,22,,1,4,76,644.57,2578.28,411.7600000000002
218,1778,20250901,54,48,26,,5,70,70,573.71,40159.700000000004,5859.700000000003
219,1779,20251024,54,57,30,,1,2,56,637.0,1274.0,294.0
220,1780,20240426,55,35,20,,1,12,282,2.05,24.599999999999998,12.359999999999998
221,1781,20260112,56,56,17,,2,6,126,75.58,453.48,93.47999999999999
222,1782,20240718,57,54,17,,2,6,72,133.75,802.5,267.54
223,1783,20230722,61,55,20,,2,2,20,17.65,35.3,11.759999999999998
224,1784,20260102,61,49,27,,1,2,26,15.0,30.0,10.0
225,1785,20240427,63,57,30,,2,16,170,76.73,1227.68,204.48000000000002
226,1787,20240420,64,39,17,,1,8,110,228.13,1825.04,447.68000000000006
227,1788,20251022,64,58,31,,2,2,62,216.66,433.32,100.0
228,1789,20230722,68,54,17,,3,30,30,73.5,2205.0,908.4000000000001
229,1790,20250801,68,50,17,,2,2,24,59.9,119.8,37.44
230,1791,20251110,70,50,17,,1,2,52,15.0,30.0,15.0
231,1792,20251125,76,55,20,,2,4,112,46.0,184.0,69.0
232,1793,20231203,77,34,19,,5,66,66,31.55,2082.3,693.6600000000001
233,1794,20241117,78,58,31,,1,6,146,57.91,347.46,97.55999999999999
234,1795,20240413,78,35,20,,3,54,54,66.66,3599.64,1350.54
235,1796,20250901,80,56,17,,1,2,42,29.04,58.08,8.839999999999996
236,1797,20250912,5,56,17,,1,4,54,14.39,57.56,21.560000000000002
237,1799,20250426,8,59,32,,1,6,68,53.06,318.36,41.46000000000002
238,1800,20250527,9,34,19,,1,4,96,20.0,80.0,40.0
239,1801,20250220,10,56,17,,1,6,144,40.0,240.0,120.0
240,1802,20250104,14,39,17,,1,8,128,78.0,624.0,312.0
241,1803,20240410,18,36,18,,1,2,28,104.54,209.08,69.70000000000002
242,1804,20251215,19,61,29,,1,8,84,120.0,960.0,320.0
243,1805,20230821,26,54,17,,1,8,90,92.29,738.32,369.28000000000003
244,1806,20251205,27,49,27,,1,6,116,86.48,518.88,43.74000000000004
245,1807,20251014,28,32,17,,1,2,36,124.98,249.96,64.80000000000001
246,1808,20251018,40,267,155,,5,154,154,5.59,860.86,244.85999999999999
247,1809,20241106,42,267,155,,2,6,64,21.57,129.42000000000002,30.180000000000007
248,1810,20250703,43,266,154,,2,6,104,6.59,39.54,9.54
249,1811,20230921,44,268,156,,1,2,24,54.93,109.86,33.06
250,1812,20251004,44,268,156,,1,4,54,50.0,200.0,60.120000000000005
251,1814,20241214,51,264,152,,3,34,34,633.0,21522.0,4966.719999999999
252,1815,20250727,52,262,150,,5,36,36,502.51,18090.36,3957.84
253,1816,20231203,53,268,156,,2,2,36,624.47,1248.94,165.68000000000006
254,1817,20241116,56,269,153,,1,2,32,79.58,159.16,38.58
255,1818,20240131,57,263,151,,1,2,42,146.83,293.66,97.92000000000002
256,1819,20230730,60,267,155,,5,18,18,40.65,731.6999999999999,121.85999999999993
257,1824,20241021,63,268,156,,5,38,38,74.18,2818.84,388.7400000000001
258,1825,20241019,67,269,153,,5,28,28,29.21,817.88,136.07999999999998
259,1828,20230828,69,269,153,,4,30,30,14.77,443.09999999999997,221.7
260,1829,20230414,69,269,153,,5,36,36,14.77,531.72,266.03999999999996
261,1830,20241029,71,269,153,,3,90,90,23.62,2125.8,607.5
262,1831,20230429,72,268,156,,2,6,128,29.44,176.64000000000001,58.92
263,1832,20240518,74,267,155,,1,2,90,24.86,49.72,12.879999999999995
264,1833,20240509,85,261,149,,1,2,18,73.55,147.1,42.019999999999996
265,1834,20240831,85,268,156,,5,14,14,69.34,970.76,235.20000000000005
266,1835,20240729,2,265,153,,4,20,20,39.49,789.8000000000001,225.80000000000007
267,1836,20240831,2,268,156,,4,20,20,37.22,744.4,180.39999999999998
268,1837,20240831,2,262,150,,2,2,28,37.22,74.44,18.04
269,1838,20240909,3,268,156,,5,38,38,48.09,1827.42,521.7400000000001
270,1839,20240613,3,267,155,,3,16,16,51.54,824.64,274.88
271,1840,20241028,4,264,152,,3,84,84,7.8,655.1999999999999,327.59999999999997
272,1842,20250926,6,261,149,,3,24,24,72.0,1728.0,768.0
273,1843,20250218,7,262,150,,1,2,34,75.08,150.16,36.39999999999999
274,1846,20251121,10,262,150,,2,4,20,36.0,144.0,64.0
275,1847,20231115,13,272,152,,2,4,48,41.61,166.44,83.24
276,1848,20230822,13,264,152,,1,4,62,41.61,166.44,83.24
277,1849,20230926,14,261,149,,5,62,62,81.55,5056.099999999999,2528.3599999999997
278,1851,20251205,20,265,153,,5,26,26,90.0,2340.0,780.0
279,1852,20240819,23,266,154,,1,2,110,16.02,32.04,9.18
280,1853,20240611,26,267,155,,1,6,86,90.63,543.78,271.91999999999996
281,1855,20230522,33,266,154,,5,22,22,116.73,2568.06,733.92
282,1856,20240424,41,215,120,,2,2,34,12.13,24.26,5.620000000000001
283,1859,20250302,78,216,121,,5,18,18,65.0,1170.0,438.65999999999997
284,1860,20250926,9,228,119,,2,4,28,20.0,80.0,40.0
285,1861,20250715,12,227,120,,5,22,22,42.75,940.5,280.5
286,1862,20240805,13,205,120,,2,4,114,40.2,160.8,80.4
287,1863,20240222,14,215,120,,1,2,42,78.0,156.0,78.0
288,1864,20250824,15,228,119,,3,32,32,90.0,2880.0,1440.0
289,1865,20250414,17,215,120,,2,2,40,57.9,115.8,23.5
290,1867,20250616,25,226,119,,5,50,50,37.52,1876.0000000000002,699.5000000000001
291,1868,20241128,25,215,120,,2,2,56,40.02,80.04,32.96000000000001
292,1869,20250317,26,216,121,,2,2,64,90.0,180.0,90.0
293,1871,20241106,26,216,121,,1,4,50,90.63,362.52,181.27999999999997
294,1872,20250910,30,215,120,,3,30,30,74.0,2220.0,1020.0
295,1873,20250807,31,205,120,,1,2,44,28.5,57.0,17.0
296,1874,20250417,32,205,120,,2,2,30,84.93,169.86,57.360000000000014
297,1879,20240911,42,200,114,,2,2,36,22.84,45.68,12.600000000000001
298,1880,20230305,43,195,114,,2,2,26,7.32,14.64,4.18
299,1882,20250116,49,197,115,,4,22,22,15.25,335.5,115.5
300,1884,20250821,57,200,114,,2,2,36,129.0,258.0,86.0
301,1885,20241118,61,196,114,,3,8,8,15.28,122.24,40.8
302,1886,20240909,63,194,113,,2,4,38,73.54,294.16,38.360000000000014
303,1887,20230424,67,198,116,,2,2,24,33.59,67.18,13.440000000000005
304,1888,20240906,70,201,114,,2,2,32,15.6,31.2,15.6
305,1889,20250725,70,203,118,,1,2,40,15.0,30.0,15.0
306,1890,20241117,71,194,113,,2,4,60,23.2,92.8,25.319999999999993
307,1891,20240406,75,197,115,,3,48,48,27.6,1324.8000000000002,439.2000000000001
308,1892,20251107,75,203,118,,1,4,64,29.98,119.92,47.72
309,1893,20230301,76,196,114,,2,2,52,52.15,104.3,39.11999999999999
310,1894,20240117,78,200,114,,1,2,38,67.73,135.46,50.80000000000001
311,1895,20240102,79,196,114,,3,68,68,27.81,1891.08,530.3999999999999
312,1896,20240415,9,198,116,,5,8,8,19.78,158.24,79.12
313,1898,20240512,12,200,114,,2,2,32,45.97,91.94,30.68
314,1899,20250107,12,201,114,,2,2,28,42.13,84.26,23.000000000000007
315,1900,20240402,13,203,118,,5,46,46,40.2,1849.2,924.6
316,1902,20240101,22,195,114,,1,2,24,12.78,25.56,7.299999999999997
317,1903,20241022,22,203,118,,5,28,28,12.15,340.2,97.16000000000003
318,1904,20250901,22,197,115,,1,2,34,11.14,22.28,5.16
319,1905,20251201,22,196,114,,1,2,30,11.14,22.28,5.16
320,1906,20240429,25,202,114,,2,4,50,40.02,160.08,65.92000000000002
321,1907,20260126,30,196,114,,2,2,26,70.0,140.0,60.0
322,1908,20250522,31,200,114,,2,2,38,30.0,60.0,20.0
323,1909,20240929,40,257,145,,1,12,156,6.03,72.36,24.240000000000006
324,1910,20251101,41,256,139,,1,6,106,11.98,71.88,16.56
325,1911,20251030,42,256,139,,4,112,112,19.87,2225.44,441.28000000000014
326,1912,20241208,43,253,142,,2,8,106,7.15,57.2,16.32
327,1913,20250331,43,257,145,,2,26,254,6.3,163.79999999999998,33.8
328,1914,20250415,43,255,139,,5,164,164,7.0,1148.0,328.0
329,1915,20250118,44,246,138,,1,4,40,54.09,216.36,65.12
330,1917,20251015,45,257,145,,3,28,28,107.79,3018.1200000000003,635.0400000000002
331,1918,20250425,45,255,139,,5,22,22,120.0,2640.0,767.58
332,1920,20230528,46,253,142,,5,18,18,66.77,1201.86,331.01999999999987
333,1921,20250827,47,256,139,,1,2,26,129.0,258.0,108.0
334,1923,20250424,48,255,139,,2,4,54,11.97,47.88,11.880000000000003
335,1925,20250809,51,241,134,,1,2,36,525.11,1050.22,104.08000000000004
336,1926,20251111,51,253,142,,1,2,54,565.33,1130.66,184.5200000000001
337,1928,20230502,60,256,139,,4,18,18,40.65,731.6999999999999,121.85999999999993
338,1929,20240628,64,256,139,,2,2,24,258.26,516.52,172.18
339,1930,20250831,67,245,137,,1,2,34,27.89,55.78,7.780000000000001
340,1931,20230707,71,260,148,,2,2,48,27.37,54.74,18.240000000000002
341,1932,20250410,72,255,139,,5,112,112,27.0,3024.0,1008.0
342,1933,20230720,73,255,139,,3,46,46,51.24,2357.04,884.1199999999999
343,1934,20251110,73,257,145,,1,4,228,39.08,156.32,43.83999999999999
344,1935,20250516,74,253,142,,1,8,118,21.81,174.48,32.23999999999998
345,1937,20250831,75,255,139,,1,6,58,29.98,179.88,71.58
346,1938,20230918,78,255,139,,5,28,28,67.73,1896.44,711.2000000000002
347,1939,20251020,79,254,144,,3,172,172,22.54,3876.8799999999997,786.0400000000001
348,1940,20230916,80,255,139,,5,18,18,35.09,631.6200000000001,145.62000000000006
349,1942,20240823,4,253,142,,3,52,52,7.8,405.59999999999997,202.79999999999998
350,1943,20240514,4,253,142,,5,104,104,7.8,811.1999999999999,405.59999999999997
351,1944,20251026,7,257,145,,5,28,28,71.98,2015.44,415.80000000000007
352,1945,20250823,7,241,134,,2,4,30,79.98,319.92,91.4
353,1947,20240729,8,245,137,,2,2,24,59.25,118.5,27.340000000000003
354,1948,20240717,9,248,140,,2,2,16,19.78,39.56,19.78
355,1950,20240504,10,256,139,,1,4,38,39.04,156.16,78.08
356,1951,20241109,13,260,148,,1,8,82,40.2,321.6,160.8
357,1952,20240629,13,260,148,,1,4,64,40.2,160.8,80.4
358,1955,20230711,19,260,148,,2,2,18,122.7,245.4,81.80000000000001
359,1956,20241023,19,243,136,,1,2,24,122.06,244.12,81.38
360,1958,20250727,19,260,148,,2,2,24,120.0,240.0,80.0
361,1959,20230617,23,245,137,,2,2,46,16.64,33.28,9.5
362,1960,20240424,23,255,139,,3,84,84,16.02,1345.68,385.56
363,1961,20240713,26,257,145,,5,86,86,90.63,7794.179999999999,3897.5199999999995
364,1962,20251229,26,246,138,,1,10,106,74.25,742.5,292.5
365,1963,20250120,27,259,147,,2,2,38,103.37,206.74,41.360000000000014
366,1964,20231028,32,254,144,,5,28,28,96.44,2700.3199999999997,1012.7599999999999
367,1965,20231006,33,241,134,,4,12,12,116.73,1400.76,400.32
368,1967,20230720,40,286,166,,2,2,58,6.59,13.18,4.42
369,1968,20230622,43,286,166,,1,4,52,7.32,29.28,8.36
370,1970,20251202,44,286,166,,2,2,24,50.0,100.0,30.060000000000002
371,1972,20250904,46,283,165,,1,2,20,56.95,113.9,21.14
372,1973,20231019,52,283,165,,2,4,38,546.44,2185.76,460.08000000000015
373,1974,20231109,54,283,165,,1,2,16,626.94,1253.88,144.70000000000005
374,1975,20240809,54,284,165,,4,16,16,593.5,9496.0,1423.3599999999997
375,1976,20240706,55,287,167,,5,64,64,2.05,131.2,65.91999999999999
376,1977,20230818,56,286,166,,1,2,34,90.09,180.18,51.46000000000001
