satisfaction_key,year_num,sales_representative_bk,sales_staff_key,satisfaction_type_key,satisfaction_score
108,2005,14,7.0,1,1
109,2005,15,8.0,3,3
110,2005,16,9.0,4,4
111,2005,17,10.0,5,5
112,2005,18,11.0,5,5
113,2005,19,12.0,4,4
114,2005,20,13.0,5,5
115,2005,21,14.0,4,4
116,2005,22,15.0,4,4
117,2005,23,16.0,4,4
118,2005,24,17.0,3,3
119,2005,25,18.0,4,4
120,2005,26,19.0,4,4
121,2005,27,20.0,4,4
122,2005,28,21.0,4,4
123,2005,29,22.0,3,3
124,2005,30,23.0,4,4
125,2005,43,24.0,2,2
126,2005,44,25.0,4,4
127,2005,45,26.0,2,2
128,2005,46,27.0,3,3
129,2005,47,28.0,4,4
130,2005,48,29.0,3,3
131,2005,49,30.0,4,4
132,2005,50,31.0,3,3
133,2005,51,32.0,1,1
134,2005,52,33.0,5,5
135,2005,53,34.0,4,4
136,2005,54,35.0,3,3
137,2005,55,36.0,3,3
138,2005,56,37.0,3,3
139,2005,57,38.0,5,5
140,2005,58,39.0,4,4
141,2005,59,40.0,3,3
142,2005,60,41.0,2,2
143,2005,61,42.0,2,2
144,2005,62,43.0,3,3
145,2005,63,44.0,3,3
146,2005,64,45.0,2,2
147,2005,65,46.0,3,3
148,2005,66,47.0,1,1
149,2005,67,48.0,4,4
150,2005,68,49.0,3,3
151,2005,69,50.0,2,2
152,2005,70,51.0,3,3
153,2005,71,52.0,4,4
154,2005,72,53.0,5,5
155,2005,73,54.0,2,2
156,2005,74,55.0,2,2
157,2005,75,56.0,3,3
158,2005,76,57.0,4,4
159,2005,77,58.0,2,2
160,2005,78,59.0,3,3
161,2005,79,60.0,4,4
162,2005,80,61.0,4,4
163,2005,81,62.0,5,5
164,2005,83,63.0,4,4
165,2005,85,64.0,3,3
166,2005,87,65.0,5,5
167,2005,88,66.0,4,4
168,2005,89,67.0,4,4
169,2005,90,68.0,5,5
170,2005,91,69.0,4,4
171,2005,92,70.0,4,4
172,2005,93,71.0,4,4
173,2005,94,72.0,2,2
174,2005,95,73.0,4,4
175,2005,96,74.0,3,3
176,2005,98,76.0,3,3
177,2005,99,77.0,5,5
178,2005,100,78.0,4,4
179,2005,101,,3,3
180,2005,102,,4,4
181,2005,103,,5,5
182,2005,104,,2,2
183,2005,105,,5,5
184,2005,106,,3,3
185,2005,107,79.0,4,4
186,2005,108,80.0,4,4
187,2005,109,81.0,4,4
188,2005,110,82.0,3,3
189,2005,111,83.0,3,3
190,2005,112,84.0,1,1
191,2005,113,85.0,3,3
192,2005,114,86.0,3,3
193,2005,115,87.0,2,2
194,2005,116,88.0,4,4
195,2005,117,89.0,2,2
196,2005,118,90.0,4,4
197,2005,119,91.0,4,4
198,2005,120,92.0,4,4
199,2005,121,93.0,3,3
200,2005,122,94.0,4,4
201,2005,123,95.0,3,3
202,2005,124,96.0,4,4
203,2006,4,1.0,3,3
204,2006,5,2.0,3,3
205,2006,6,3.0,3,3
206,2006,7,4.0,3,3
207,2006,12,5.0,5,5
208,2006,13,6.0,4,4
209,2006,15,8.0,3,3
210,2006,16,9.0,4,4
211,2006,17,10.0,5,5
212,2006,18,11.0,5,5
213,2006,19,12.0,4,4
214,2006,20,13.0,5,5
215,2006,21,14.0,5,5
216,2006,22,15.0,4,4
217,2006,23,16.0,4,4
218,2006,24,17.0,3,3
219,2006,25,18.0,4,4
220,2006,26,19.0,4,4
221,2006,27,20.0,3,3
222,2006,28,21.0,4,4
223,2006,29,22.0,3,3
224,2006,30,23.0,4,4
225,2006,43,24.0,1,1
226,2006,44,25.0,4,4
227,2006,45,26.0,3,3
228,2006,46,27.0,3,3
229,2006,47,28.0,4,4
230,2006,48,29.0,4,4
231,2006,49,30.0,4,4
232,2006,50,31.0,3,3
233,2006,51,32.0,2,2
234,2006,52,33.0,5,5
235,2006,53,34.0,5,5
236,2006,54,35.0,3,3
237,2006,55,36.0,4,4
238,2006,56,37.0,3,3
239,2006,57,38.0,5,5
240,2006,58,39.0,4,4
241,2006,59,40.0,3,3
242,2006,60,41.0,1,1
243,2006,61,42.0,2,2
244,2006,62,43.0,3,3
245,2006,63,44.0,3,3
246,2006,64,45.0,3,3
247,2006,65,46.0,3,3
248,2006,67,48.0,4,4
249,2006,68,49.0,3,3
250,2006,69,50.0,2,2
251,2006,70,51.0,3,3
252,2006,71,52.0,4,4
253,2006,72,53.0,4,4
254,2006,73,54.0,2,2
255,2006,74,55.0,4,4
256,2006,75,56.0,3,3
257,2006,76,57.0,4,4
258,2006,77,58.0,2,2
259,2006,78,59.0,4,4
260,2006,79,60.0,4,4
261,2006,80,61.0,3,3
262,2006,81,62.0,4,4
263,2006,83,63.0,3,3
264,2006,85,64.0,4,4
265,2006,87,65.0,5,5
266,2006,88,66.0,5,5
267,2006,89,67.0,4,4
268,2006,90,68.0,5,5
269,2006,91,69.0,4,4
270,2006,92,70.0,3,3
271,2006,93,71.0,4,4
272,2006,94,72.0,3,3
273,2006,95,73.0,4,4
274,2006,96,74.0,5,5
275,2006,98,76.0,4,4
276,2006,99,77.0,5,5
277,2006,100,78.0,4,4
278,2006,101,,4,4
279,2006,102,,4,4
280,2006,103,,5,5
281,2006,104,,2,2
282,2006,105,,5,5
283,2006,106,,3,3
284,2006,107,79.0,4,4
285,2006,108,80.0,5,5
286,2006,109,81.0,3,3
287,2006,110,82.0,4,4
288,2006,111,83.0,3,3
289,2006,112,84.0,2,2
290,2006,113,85.0,3,3
291,2006,114,86.0,4,4
292,2006,115,87.0,2,2
293,2006,116,88.0,4,4
294,2006,117,89.0,4,4
295,2006,118,90.0,4,4
296,2006,119,91.0,4,4
297,2006,120,92.0,4,4
298,2006,121,93.0,4,4
299,2006,122,94.0,4,4
300,2006,123,95.0,3,3
301,2006,124,96.0,5,5
